RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,Avg
61029,08247,Stone Harbor,NJ,Ocean City,Cape May,9129,1414800,1403600,1410000,1411900,1409400,1405400,1400000,1401500,1406600,1401000,1398600,1404200,1415900,1425400,1424500,1412900,1402300,1404600,1414700,1417900,1428300,1456800,1490400,1517700,1541000,1544400,1550300,1582500,1612400,1603400,1588700,1579200,1564000,1549100,1542600,1539100,1539700,1536900,1525900,1526300,1555900,1597300,1618700,1624500,1629200,1643500,1659000,1671900,1681400,1695500,1706500,1702700,1683000,1670300,1681400,1691900,1701000,1712300,1723200,1721300,1539573
61166,08750,Sea Girt,NJ,New York,Monmouth,8522,,,1129400,1161400,1185400,1200400,1204200,1203200,1203900,1211900,1224500,1232600,1244100,1264000,1273100,1261400,1261900,1277300,1291700,1293500,1287800,1287300,1290800,1283700,1283900,1294000,1297500,1295400,1298900,1294900,1287700,1283700,1281100,1272400,1274200,1297700,1334700,1357500,1370100,1385800,1392900,1388600,1388600,1401800,1427000,1453100,1467200,1476600,1478800,1473600,1469900,1467200,1464900,1481600,1511600,1543000,1565400,1579600,1579000,1587300,1341047
60587,07078,Short Hills,NJ,New York,Essex,6890,1108500,1097000,1095800,1098400,1107100,1119000,1127400,1132200,1137600,1135600,1136700,1140100,1144300,1154700,1168100,1179900,1201200,1223400,1229000,1235400,1248000,1257100,1248700,1231600,1226000,1243800,1257400,1257300,1256100,1260800,1269700,1282000,1282200,1274900,1272100,1274600,1274100,1272600,1268800,1271300,1278600,1283800,1285000,1288800,1293300,1293800,1289400,1286100,1296300,1317300,1342300,1358900,1352000,1346600,1367700,1402500,1437800,1467600,1495200,1519500,1253383
60545,07030,Hoboken,NJ,New York,Hudson,42,952300,952800,972900,981400,991400,1007900,1028300,1035300,1042200,1048200,1048800,1048900,1051800,1058000,1070800,1087500,1097600,1098100,1103100,1120900,1139700,1153500,1182500,1193000,1194100,1210500,1222000,1200200,1185000,1185400,1198300,1209100,1208700,1208400,1216700,1235200,1253000,1266100,1286000,1328800,1361800,1376100,1390800,1412700,1426800,1432700,1428600,1439000,1463700,1476900,1480600,1499800,1516100,1526100,1534500,1547100,1570700,1609600,1646700,1669900,1248077
61000,08202,Avalon,NJ,Ocean City,Cape May,8526,1075600,1078300,1081200,1087000,1094900,1096700,1100500,1112800,1128500,1140900,1143500,1128300,1119300,1120800,1123000,1114800,1107700,1111200,1117700,1112700,1102600,1106300,1123400,1141400,1145400,1142500,1143900,1148200,1148900,1147000,1145000,1136500,1131700,1135300,1141700,1146900,1157200,1166100,1169100,1175900,1186600,1197300,1207200,1218900,1226100,1235800,1248000,1252800,1248800,1250300,1264100,1270500,1268600,1267700,1269600,1272100,1287000,1301300,1320300,1343000,1169773
60799,07760,Rumson,NJ,New York,Monmouth,7084,934800,932600,930600,930200,933700,935000,924600,913700,918500,930400,936100,933500,935200,937100,937800,938200,937900,943300,955100,967000,967000,962700,953300,958600,974900,985000,977800,969300,969200,975700,977400,968900,967400,974100,974600,973700,976900,980900,975800,962300,945400,938000,936100,940500,950000,959800,964400,972500,978300,978900,994500,1011300,1018500,1027800,1044500,1052800,1061500,1078000,1107200,1131600,970373
60800,07762,Spring Lake Heights,NJ,New York,Monmouth,6312,856300,856200,861500,868300,870000,863300,860600,871400,887400,898300,909600,924400,938900,942900,940200,937700,941300,944100,945500,948700,954200,958300,955800,949000,948700,959100,965800,967500,973400,982600,986200,986500,992400,1005200,1009400,1002100,997200,1001400,1006200,1006300,998500,987600,987800,998500,1007000,1008900,1007500,1006200,1004900,1004700,1004200,1007400,1015100,1029700,1039500,1035400,1020800,1009200,1038800,1099500,966418
60658,07417,Franklin Lakes,NJ,New York,Bergen,7274,863800,855100,846300,841700,842100,839900,836600,837600,846600,856900,860900,857400,852200,851300,854300,861800,870300,877800,884500,895600,909700,915400,912900,906500,899700,890700,889000,889900,887400,882100,880900,882000,879400,877600,878700,886900,902400,924400,939800,937400,931000,940900,955800,962200,966700,971000,972000,972300,973600,976300,978500,979100,977900,973400,969300,965300,964800,980100,1000900,1003100,908662
60870,07928,Chatham Township,NJ,New York,Morris,5458,799200,802600,796900,789700,787500,793600,800600,806500,810000,813000,814600,817100,817100,819500,828600,839000,839200,837500,839100,844500,851200,855000,854500,856700,858800,857100,854300,854100,854400,852900,849400,843100,836500,832000,831600,832900,831800,827800,828600,835900,844000,848800,854300,858500,859100,861500,866900,872100,877500,881600,887800,896000,899600,893700,879600,869900,872100,874000,870500,871200,843885
60682,07458,Upper Saddle River,NJ,New York,Bergen,7014,816000,814000,816700,816600,816700,820100,824500,827100,828200,827400,826200,826100,828100,828400,826000,823100,821000,821600,820500,818100,820100,824700,827200,828700,828300,826900,830300,831900,826700,821000,820900,826900,828700,823100,817800,819900,823800,831100,841200,849300,847900,845100,848600,854600,854800,855600,860200,868500,875600,875700,869000,870000,884400,896900,901500,899100,905400,922600,936100,934600,843352
60905,08008,Long Beach Township,NJ,New York,Ocean,5681,754800,759000,766200,771900,772100,769600,766500,764700,765100,770700,782800,793500,797700,800200,805000,804700,798900,795500,794800,793000,793500,799300,806200,809200,806500,805100,808300,814700,820400,824700,828800,834400,839400,840800,841000,841900,842400,844500,846500,843200,841400,844300,846000,848100,853800,863100,866600,864400,864000,867700,867900,869100,874000,878000,881300,883800,889200,899000,913100,925300,825960
60751,07670,Tenafly,NJ,New York,Bergen,6478,709500,706400,701600,702100,705100,708600,711000,713300,715200,719800,727500,735700,737100,732400,728800,732000,739600,744300,746300,752900,759200,761900,765900,768200,765800,766300,773500,781300,785700,791400,803500,813000,813800,813600,816700,818300,819800,823200,825800,821200,811700,810500,812700,808400,802000,804300,807200,807700,807300,808900,810400,816500,823700,826800,830000,837800,845900,853500,858000,860300,780015
60864,07920,Bernards Township,NJ,New York,Somerset,3587,727900,721800,722200,726100,730800,735400,737800,739700,738000,731800,727100,728000,735500,745500,748900,748000,751200,757700,764400,770300,774600,781300,787400,789600,788900,788200,788500,793000,798000,799900,798100,793800,791000,788800,791300,796900,796500,785400,780000,783800,792000,798400,804500,810100,813200,811600,807100,804200,804200,807400,810100,809700,806900,802200,795800,789400,788300,791200,794600,794600,776977
60540,07024,Fort Lee,NJ,New York,Bergen,812,709500,721300,733700,745100,746100,741500,739700,741500,747000,759700,767600,764800,758000,758200,764100,767900,774300,783800,788900,782500,775700,771100,771900,773500,773900,772900,775600,773800,767200,767100,770700,772400,778800,788000,793000,798900,803600,802000,791500,786200,793900,803000,803700,802000,798200,795400,798800,799400,793700,786900,783900,784000,787000,785100,782800,787800,796200,801200,804500,804300,776580
60554,07041,Millburn,NJ,New York,Essex,7910,701500,701200,701500,701600,702400,703400,702200,700900,701600,702500,706300,712200,717900,724300,728200,731800,738500,743900,747800,751800,751600,745000,737700,732400,732100,740000,749000,754100,755700,754900,752300,752100,754600,754200,753600,758500,762600,757000,749900,750400,757100,765600,767500,762800,758700,761800,762900,758700,758400,763600,774400,786400,785400,780900,789900,802500,812100,818300,826400,836600,749153
60692,07481,Wyckoff,NJ,New York,Bergen,6123,707800,705800,701500,698200,698000,698100,697600,697600,698400,700600,703000,706100,712400,717600,718900,724200,734100,742000,745100,747800,752400,757000,757800,757900,758800,761200,763700,762800,755500,747900,744200,745300,745900,744000,739400,737800,739500,741600,741700,738400,738400,745100,752900,755700,754800,753100,758400,770900,780800,786400,791000,794400,795700,796000,799500,805800,812000,817200,818300,811000,748083
60759,07704,Fair Haven,NJ,New York,Monmouth,8495,684000,686100,692200,696600,697700,698100,695700,691100,686900,683100,685200,689100,690700,691700,695300,695800,697200,701400,708600,715200,719600,723500,728100,734900,742100,748800,752600,758900,765300,768700,765200,760200,759700,765500,770200,772100,775100,779400,778900,772100,765000,761400,761000,765200,769600,772900,777100,779500,779400,781600,786300,791900,798800,803600,806400,810800,815700,817500,818800,824700,746830
60568,07059,Warren,NJ,New York,Somerset,6215,702300,694100,693600,700900,711100,718100,720200,718900,717000,713400,710600,711400,716900,722100,724200,725100,726000,725800,727500,731800,734700,738200,740500,740000,739700,737600,736500,739200,741200,739300,739300,740300,740900,735800,736600,743700,745000,738400,736200,738100,744100,749900,751000,749200,749400,750300,748200,743800,744200,748300,751600,750100,747200,745800,744000,741500,743200,750000,755800,754200,734233
60652,07401,Allendale,NJ,New York,Bergen,8247,685800,682600,680100,678200,677000,676400,678400,679000,680100,683400,686300,689800,693600,696400,701800,712000,719900,722100,718700,714900,715800,719300,724500,730000,733700,737000,739800,737800,733100,731900,740400,752100,749700,736800,728900,730700,738600,747900,752400,751900,748700,746400,745400,743000,743100,748700,756900,763800,767700,767300,770200,776000,780800,785300,788400,786900,786600,790200,793500,792900,732843
60677,07450,Ridgewood,NJ,New York,Bergen,4698,672600,669600,666200,663700,658500,654500,655900,662100,670100,677000,679600,681000,681800,681700,682300,688000,697000,704300,708000,712000,717100,720000,721600,725300,729800,733600,736900,736700,732500,731100,732800,734800,732400,730300,731500,738900,747200,750900,753500,757700,763400,769300,771700,766400,761200,760600,764300,769800,774500,774200,773100,775800,776400,771900,770700,774300,777000,775700,773000,771200,727917
60873,07932,Florham Park,NJ,New York,Morris,6931,638500,637800,631200,629400,632200,639200,648500,659900,670500,678300,680100,680200,682700,688500,697500,706700,708600,706900,708900,715800,723600,728800,733700,740800,745600,745700,745600,750300,759400,772100,776800,770500,756800,749900,748700,744300,736800,734300,733800,733500,738400,747500,756600,758800,758600,765400,767000,758900,753400,754500,755900,765300,772200,768700,759900,758000,758400,761000,766600,774000,726192
61112,08558,Montgomery Township,NJ,New York,Somerset,8018,679500,669300,663700,665100,670000,672800,673700,675800,678500,678300,677700,680700,685400,689800,690000,690600,694900,702800,708200,712300,716500,722900,727300,728400,728500,727800,728000,732300,736200,735100,731100,727400,725300,722600,723800,729200,728700,720900,718300,720400,725600,734800,741000,741100,740400,737400,730000,725900,727200,729200,731100,732200,729700,725100,721400,719600,721800,726000,729900,729900,713152
60881,07945,Mendham Township,NJ,New York,Morris,7557,654800,658200,658600,657900,656800,658000,663900,670300,674200,674600,672900,671400,672300,674800,680000,687300,691900,691800,688100,690100,703100,711500,710600,716800,730100,737600,740100,743200,748300,753700,756000,755300,751800,747100,742200,737000,730900,724100,719500,717800,721700,727600,729500,727900,725200,728000,733700,731500,723500,720600,725000,731200,733200,727500,720400,716200,713900,707100,701700,702300,709538
60880,07940,Madison,NJ,New York,Morris,6119,630800,631000,624900,624500,630200,637300,643100,644000,645300,652600,658100,654900,652600,658100,671500,682600,688100,689600,692400,697600,707100,715000,719800,726400,731300,731900,730200,731600,731500,732700,732200,728300,727800,731500,732700,730800,728200,721200,717500,714400,710900,709500,712000,712200,709900,708400,708800,707400,708100,714100,726200,741600,757100,762000,754300,743600,737400,734400,731700,729500,702507
61100,08540,Princeton,NJ,Trenton,Mercer,831,642300,642400,643300,642200,642500,646900,651500,652500,652300,651300,650800,652100,654200,656200,657300,660000,666400,670000,669900,671300,675700,680900,686700,693100,697000,698800,700000,701600,700500,698100,697100,700200,703600,702900,701800,702700,703500,702700,705500,712700,721600,727800,732600,736000,738600,741600,744100,744600,742400,744900,749700,750400,745700,746000,749500,750600,751600,756100,762500,765500,699038
60871,07930,Chester Township,NJ,New York,Morris,7733,673400,668100,660600,657000,653800,653500,657400,664500,668200,668700,668300,670700,673700,677300,682900,688000,688300,689000,690300,691600,693400,695200,694500,692500,690000,688300,688400,691300,697100,702600,703600,698800,696500,698600,701100,703200,705400,704700,703600,701100,699500,701300,703600,703300,703700,702700,702600,703600,705000,708800,715500,716100,709600,700600,692700,685100,679300,674800,672300,670500,689097
60867,07924,Bernardsville,NJ,New York,Somerset,7925,656700,651900,653300,662300,667300,665000,663500,664900,663600,660100,654600,649000,645300,650900,656500,654000,649000,649500,654000,660500,664700,666700,671800,678500,685200,687200,689700,695400,700300,700300,699600,704300,714000,719100,718400,722200,717600,701500,688900,695900,712500,722100,714900,708100,706700,706800,704400,703300,704600,706900,709800,711500,710800,710000,713700,714800,712700,712700,716200,717300,687883
60667,07430,Mahwah,NJ,New York,Bergen,3935,650100,643800,641200,638100,635300,635200,640000,647600,656700,658400,653200,653800,662200,669100,672400,675700,677300,677600,679500,681400,683000,685300,691900,698300,697700,693400,695100,696100,691000,687700,687400,688100,688200,686400,683000,681500,680000,678100,678200,680600,687800,695500,699300,700300,701900,701200,701500,702100,701700,701600,703500,704400,701400,695700,692200,694200,698600,701800,700900,698300,681392
61017,08226,Ocean City,NJ,Ocean City,Cape May,3394,646400,640500,638000,641500,643200,646300,648500,653500,661300,668400,668300,669900,673100,676000,677800,674600,668400,665300,667000,664300,659800,663300,671800,674900,674800,671500,669700,673900,681000,684400,686800,689700,690200,690000,691500,693600,695700,697000,697700,695800,692100,690200,694400,694800,691800,692600,695200,695100,695300,699700,703600,704700,703900,702800,698300,694400,697800,700000,696800,691100,679667
61025,08243,Sea Isle City,NJ,Ocean City,Cape May,8256,643900,642000,639500,643900,648000,644800,642300,644500,650200,652500,655500,662300,670100,674900,678400,676200,674400,677900,680700,678200,673800,675100,680100,684100,685700,687700,689000,690900,690300,685200,678600,671000,664200,663000,664600,664900,664300,664100,666400,671800,672200,668000,669000,674400,681200,689700,697600,703700,710900,716800,717400,715900,718300,724200,725400,722100,720700,720100,717600,712500,679545
61086,08512,Cranbury Township,NJ,New York,Middlesex,6796,629300,630300,627300,623400,621900,619700,618900,622900,626500,626200,624500,625300,627200,628800,630600,634100,635700,638100,639600,640700,643800,648500,653000,659800,664700,666000,666400,666700,667400,668900,670800,674400,678500,676700,669200,663400,664200,666700,672200,680800,686400,690000,692800,692200,691800,696300,701700,704500,705600,707400,708800,709000,708600,709400,710700,708200,708700,724400,746800,753500,667498
60679,07452,Glen Rock,NJ,New York,Bergen,7164,630000,624600,621700,623000,622300,619200,619100,624200,629300,632800,629500,624500,625000,628800,630600,634800,640600,644300,651600,663400,671900,673700,679400,688100,692700,693600,695900,693800,689000,685800,681300,675400,672700,673600,675600,677500,679200,679200,680600,683100,684800,687200,688000,684300,683200,684600,683600,679400,674400,672900,678300,682100,680900,676800,674200,674000,674900,675800,677800,680600,664320
60771,07722,Colts Neck,NJ,New York,Monmouth,7466,613500,613000,613500,613300,612400,615400,620700,624800,628300,632600,638800,642500,641100,640900,642900,643900,644600,646800,650100,653100,654400,655700,658100,660000,663300,667500,670300,669300,669100,670800,673300,673700,674900,673500,670600,669500,671600,672500,674000,674100,672800,672700,675500,676600,674600,672400,672000,673100,671800,667300,665200,670500,675000,675100,676100,679900,685200,690900,695300,699100,658992
60780,07733,Holmdel,NJ,New York,Monmouth,6138,625600,622500,621100,623900,626200,626700,625800,627400,630200,634100,639000,642300,643300,646200,649300,651200,652300,652700,651300,650900,651400,653800,656700,659900,664600,669400,671100,669200,670100,674500,676800,672100,667300,665700,666000,666000,667500,667200,664100,662600,664700,667500,668400,667100,666000,667900,671400,671100,666800,664100,670300,676200,675800,673100,673800,679600,687000,689200,684400,682900,658755
60785,07739,Little Silver,NJ,New York,Monmouth,8282,617000,614300,613400,616900,621300,623000,621200,620100,618500,615600,616400,619000,620200,625200,631400,634200,636600,639700,642700,647500,652000,652000,651400,654000,662000,668300,668600,664700,664800,665000,665000,664600,665200,666000,670300,674000,675500,677600,680700,680800,679400,681000,684400,685500,683400,681400,684200,689500,688700,683700,681100,678600,676900,679400,682400,684400,686300,687300,683400,682700,658007
61105,08550,West Windsor,NJ,Trenton,Mercer,5315,614100,616900,615000,609200,608200,612200,614000,613600,614300,614100,611500,610500,611800,614600,617000,620500,623500,623800,623500,625700,629700,635000,641000,646600,647500,645700,646200,646400,645100,647000,653900,660600,664100,662600,660000,657700,654700,652400,654700,661200,667300,670400,670500,669100,668100,669500,670500,669200,667500,667800,668300,667900,665500,661500,655600,649600,644900,643900,646600,649500,642822
60556,07043,Montclair,NJ,New York,Essex,6929,594500,589800,587600,580800,573100,570600,575100,581500,584600,583700,586800,593400,598100,605500,614300,622300,625000,628200,630700,629900,624900,622300,618800,616100,618600,625100,633400,644400,659300,666100,659100,652200,654400,653400,648200,647700,649600,649100,647800,649400,653400,660200,662900,663100,664600,665600,661100,658100,661100,667900,675500,679500,674300,670000,679200,696900,713200,724000,737100,749100,640203
60676,07446,Ramsey,NJ,New York,Bergen,6210,586000,581000,575200,572000,570500,571500,576700,583500,587200,589300,592800,597300,602400,605600,607500,609400,612900,615300,617800,619700,626000,631900,636800,642000,644000,641700,645200,650800,652700,652700,654200,658700,658200,653500,653400,656200,655500,655500,655200,653900,654200,657700,657400,651400,647000,648000,649200,647200,646500,647500,649100,649400,648600,646700,647400,650200,653100,654200,652200,647500,630937
60752,07675,River Vale,NJ,New York,Bergen,3821,607600,603600,598900,593400,590500,588800,591500,597300,603900,607900,609400,609600,610000,608900,608500,611700,616500,621800,623200,618600,617500,622700,628500,634400,638700,639200,642400,647200,648900,648400,646300,644400,642800,641700,640100,639800,641000,644600,646300,645500,644600,646100,647600,645900,643800,644900,646500,645700,644700,643200,641400,640600,640700,638900,637900,640400,640900,635300,630100,630200,629190
61160,08736,Manasquan,NJ,New York,Monmouth,6193,573500,572500,576600,578100,575700,573400,571900,570200,573200,574800,575200,577300,580200,583400,587000,589200,591300,594700,599400,606300,610100,611200,612300,616700,624100,630700,630300,627400,629800,633600,635400,635900,637500,641100,646600,651800,657000,661500,662800,660900,659300,663200,668800,670700,669400,668500,669100,668500,665400,662700,662400,663200,663400,663900,664700,664600,667000,673900,680200,684800,628238
60558,07045,Montville,NJ,New York,Morris,7217,574400,576600,576900,575500,576700,576700,575300,577800,581600,584200,585200,585700,587400,588700,588900,595400,604700,606700,602200,599700,603600,608700,612200,614300,615000,613400,612100,614100,619100,625400,630200,635500,639000,639400,637600,632500,625500,621700,624900,628200,629400,633200,640200,641100,637900,638200,643600,647400,649700,655000,661700,661400,657400,655100,653300,651700,652000,651100,648700,647000,618797
61081,08502,Montgomery Township,NJ,New York,Somerset,7334,597600,593300,590000,590300,593600,596800,596900,598300,599400,594800,586600,583400,587000,589500,590100,591600,595000,598400,604100,608500,610200,613800,617600,617800,617000,617000,616400,618500,621700,621900,618800,616500,617500,618900,620900,625400,624500,617100,612600,613500,617600,623300,625100,624300,627000,629000,627200,626800,629800,634200,635200,633300,631000,632100,634800,639300,642000,644000,646400,645700,614848
60552,07039,Livingston,NJ,New York,Essex,3654,568000,569400,566700,562100,560300,561100,561600,563900,566900,565000,563600,565800,567700,573200,579500,583400,587200,593500,595300,595000,591500,587300,583600,583100,585700,591800,596000,599300,600800,600300,600300,603400,608400,613800,616500,618200,620800,620400,618600,620900,627900,633700,634800,628900,624400,621500,620600,620100,624500,628900,631300,630400,624300,623100,633400,650500,667000,679500,688500,692500,604928
60725,07626,Cresskill,NJ,New York,Bergen,7830,539700,543200,546400,548100,543900,542400,551200,560000,564500,568800,571400,573200,574900,574000,577800,589200,597200,599400,600400,600400,601800,603600,604000,606600,609800,612500,616600,616800,610500,607600,609800,607600,604400,609400,617800,621500,621400,619100,615600,613600,612400,615900,624800,629700,629500,629600,628900,629600,633700,635100,631400,632200,635300,633500,630300,636600,643700,643200,639800,639100,603840
60742,07652,Paramus,NJ,New York,Bergen,4699,561600,558400,556300,554400,553300,553800,555100,558200,563700,569500,571300,571100,570900,571300,573100,576400,579600,582400,585700,589300,593500,598400,604300,609300,611600,612600,617100,621700,622300,621400,622700,623200,620600,618200,617800,616300,615900,618200,619200,617400,616600,617700,619900,620800,621300,623000,624100,625400,627600,627800,625000,622900,622600,623000,624700,628100,631600,633600,633200,632300,602638
61099,08536,Plainsboro Township,NJ,New York,Middlesex,4597,541100,541700,543400,544900,547200,548700,549900,553700,556900,559300,562600,565300,563500,561900,562600,564600,565500,569200,575400,579800,582800,585200,586100,587700,591400,593900,593000,592500,595400,599900,602500,604100,607100,608800,607200,606600,609300,610400,609800,611200,615600,619800,623200,627500,631300,632800,632100,630500,628700,629200,633100,638300,637600,634500,629800,620900,613200,616300,625900,631900,594905
60884,07960,Morris Township,NJ,New York,Morris,1126,548200,548200,545800,541800,539800,539800,543200,547800,550700,550300,548500,546000,544400,546800,553500,558100,558900,559500,560400,563100,568400,571500,572300,575100,578600,579600,581000,587100,591300,592900,594900,596100,594700,594400,593200,591200,591000,589600,589400,592900,598600,600700,600700,600600,598700,597500,597500,596900,596100,598600,601700,605100,609900,612200,609500,605400,605800,608700,612200,614900,579855
60948,08057,Moorestown-Lenola,NJ,Philadelphia,Burlington,4958,536500,535700,536200,536500,533900,531800,532500,535900,537400,539200,541700,539600,538600,540300,543200,543900,547400,554000,563500,569900,576400,582300,584400,585200,586400,588100,588800,588100,587600,588400,591600,594500,596100,594900,592800,590000,589100,587900,588600,590800,590700,588300,589500,592700,592200,590100,589600,588400,587500,590700,595400,597200,597200,597700,597500,596500,599100,606100,617200,623900,575620
61106,08551,East Amwell Township,NJ,New York,Hunterdon,8463,523200,524400,528200,527400,520000,519100,525900,528400,522900,522500,529900,536700,537700,537000,537700,542100,552400,559500,560900,563400,566800,567600,563600,561300,563300,566500,567700,568000,567700,569000,571200,573000,575200,575300,573200,578000,587900,592600,593300,592000,587600,585600,588800,593000,596100,595700,592500,590000,589000,590700,591300,588700,585100,585600,583400,577500,575200,578400,581100,580800,565143
61075,08402,Margate City,NJ,Atlantic City,Atlantic,6873,542100,539300,550200,559500,564200,571100,575000,574600,575400,575500,577900,581100,580400,578900,579800,580500,580400,578000,575600,576400,576500,576500,578600,577000,574500,576800,580300,579600,579700,577800,574900,574800,575900,574000,571700,565800,561000,560300,559800,557000,556700,558700,561200,557500,550000,550500,551300,545900,542100,542300,543400,547200,545700,539700,537000,535600,537500,543400,556100,572600,564047
61212,08852,South Brunswick,NJ,New York,Middlesex,5710,509600,512000,512400,513000,515200,517000,517700,518900,518100,516600,516600,520400,522200,522900,523400,525600,528700,533700,536500,540000,544800,548800,550900,553700,558500,562700,563300,563400,565800,569100,572200,575900,580000,581700,580200,580500,584400,586200,586600,587500,590000,595600,601900,604100,602900,599600,597400,597700,598400,598600,600000,601500,599600,594700,590800,586700,584500,588900,597900,601300,562480
61223,08867,Alexandria Township,NJ,New York,Hunterdon,8688,528400,528700,534100,535300,532600,528600,528100,526200,522500,519900,524200,529900,531600,532900,536700,543800,554100,561100,564400,567500,570200,571500,570700,566600,564400,565500,566800,567500,569300,570700,569900,571100,574100,577500,579300,585100,593100,597500,595400,586700,577000,572700,571700,570800,571100,567900,563800,562500,562500,564600,566500,566400,564100,564400,568500,569900,569300,574500,582300,583800,560630
60522,07006,West Caldwell,NJ,New York,Essex,3987,521100,521200,517100,512600,512400,514100,512300,510500,511800,513300,514800,517900,519200,521200,524500,527200,530000,535000,539400,540100,536900,533500,532500,531200,533800,541300,546800,549500,554000,558800,560400,559900,559100,558300,558100,561500,565100,564500,563100,566900,574300,579900,579900,577200,573600,569300,564700,562000,562900,564700,567700,569200,562300,558500,569500,586000,601100,611000,617500,620800,550383
61213,08853,Branchburg,NJ,New York,Somerset,8648,522600,519200,521600,524600,526000,527500,526000,522500,520100,517400,514400,515700,520300,525200,526900,527300,528400,530300,533200,540700,549100,554900,557000,557400,557000,555900,555000,557100,561700,565000,567900,571200,574000,573500,574400,577000,576700,568900,561700,559900,562500,565700,569100,569800,568000,565200,562200,561000,561400,561200,561100,561000,559900,558100,555600,554500,558200,563600,568200,571300,550380
61097,08534,Hopewell Township,NJ,Trenton,Mercer,6499,504600,505700,506800,506000,508300,515000,524400,530100,533400,534300,533000,534000,539300,543900,546500,547600,547200,544400,540200,537400,538200,542200,548600,551900,549800,545900,544100,543700,545800,548500,551500,551500,549800,547000,542100,534300,530100,529900,532000,539000,548500,555100,558200,562700,567100,568500,567700,569000,571100,574000,577200,581100,582800,582800,580000,573700,565100,560800,562700,565600,547028
60553,07040,Maplewood,NJ,New York,Essex,4612,475600,473500,473000,469500,469400,474100,478000,479400,481300,481300,482300,487500,493700,498700,502700,506600,509300,514400,521400,525100,523800,522300,521600,520800,521700,526900,532800,537700,542700,548900,553100,556000,557600,558500,560800,565500,569700,570900,571000,574900,581100,585700,585000,583100,582100,581800,579000,576800,578300,582600,588100,592500,590700,591400,605100,624600,643300,657200,667800,676000,546437
60670,07436,Oakland,NJ,New York,Bergen,6843,518000,517300,515800,515100,511900,507500,505400,502600,501300,505500,510800,513600,516200,517200,515200,520100,529200,533400,532100,533200,535700,537600,539200,543500,547500,545300,538900,533800,532800,533000,533200,536500,541200,542900,543200,544800,544500,548400,554300,555900,553000,553800,551900,548100,544300,545300,550300,555100,558800,565400,570000,570500,571000,569400,572200,582700,590700,588700,585100,582500,541040
60588,07079,South Orange,NJ,New York,Essex,5914,470600,472200,473600,474100,473900,478400,482100,485900,490400,495100,495600,498600,500000,501100,501700,502700,502700,506500,511100,510700,508300,508000,508900,509000,515300,525700,533200,536300,538700,539800,541500,545300,550300,552700,553100,550400,548500,546100,545200,550300,562100,567600,566700,570600,576300,575200,569400,569300,572500,576400,582100,587600,586500,588500,602000,618200,632000,641000,651800,663600,539883
60753,07676,Washington Township,NJ,New York,Bergen,7584,514900,512300,511400,509500,508400,509700,511900,512200,514200,516000,516300,516200,518800,520800,523700,529300,532100,530600,529600,531100,534000,536100,538100,541300,541400,538300,537700,538100,538200,539300,540400,541100,541100,540100,541000,544000,546000,544200,544300,548800,552200,551300,550000,547900,543500,541600,544500,547900,548000,547000,546800,546300,544300,542800,546400,554100,558200,558300,558300,557900,536163
60797,07757,Oceanport,NJ,New York,Monmouth,8354,504100,504100,501900,504400,506100,507200,515400,519500,519100,521500,523900,519500,515800,513400,514300,514000,512200,509100,508300,508500,509400,509200,511100,517100,525600,535800,541500,546500,557400,564600,559600,553900,546900,537800,529600,535400,546300,548300,538800,536400,533200,529200,525500,526500,533100,546400,555200,557000,557800,559900,561300,564200,567600,568500,567000,567500,569900,570300,569700,571500,534913
61181,08807,Bridgewater,NJ,New York,Somerset,1976,499000,494800,493200,494600,496000,496600,496200,496200,495800,493600,491300,493200,498200,502900,505300,505800,506900,510800,516000,520300,523200,526500,530400,533400,534800,534500,536000,542400,550100,553500,556700,560500,561000,557300,556400,556700,553700,548300,546400,547600,550200,553100,554500,553700,552900,552900,552100,552700,555700,559400,561400,561700,561400,560200,556900,554900,557700,562600,565000,563900,534317
61202,08833,Clinton Township,NJ,New York,Hunterdon,7408,499900,504300,507000,508300,505700,500000,499800,502900,503500,500300,500800,507200,514900,513800,509500,514500,526000,535300,539200,540100,538600,538400,537600,540000,543400,547200,547000,543700,538400,538100,538200,539900,539800,539600,542900,548700,548500,546800,546300,549600,554900,557900,554900,552600,552200,549300,543000,540600,541800,543800,546100,545600,542100,540600,542900,543500,545700,550900,554700,557200,534100
60543,07028,Glen Ridge,NJ,New York,Essex,7963,468100,467300,467200,464000,463300,466000,468600,470100,472000,471900,473800,477100,479900,485200,489900,492400,495400,503800,508100,508300,508200,508400,505600,506800,512500,520400,524700,527300,534700,543000,547800,551600,557700,561200,563200,564400,564600,563000,564500,570000,574800,579200,583000,582300,577900,575600,575900,575700,577900,576700,576000,578000,574200,568200,574600,585500,591800,596800,604600,608800,533825
